name	kind	return_type	explicit_argument_count	parameters
particlesStarField	colorEffect	half4	4	float2,half4,float2,float,float,float
perlinDistort	distortionEffect	float2	4	float2,float4,float,float,float
pinch	distortionEffect	float2	6	float2,float4,float,float,float,float,float
pinchDistortion	distortionEffect	float2	5	float2,float4,float,float,float,float
pincushionDistortion	distortionEffect	float2	3	float2,float4,float,float
pixelDissolve	colorEffect	half4	3	float2,half4,float4,float,float
pixelGlitch	colorEffect	half4	4	float2,half4,float4,float,float,float
pixelate	distortionEffect	float2	2	float2,float4,float
pixelateTransition	distortionEffect	float2	3	float2,float4,float,float
plasma	colorEffect	half4	4	float2,half4,float4,float,float,float
polaroid	colorEffect	half4	3	float2,half4,float2,float,float
poolWater	colorEffect	half4	4	float2,half4,float4,float,float,float
posterize	colorEffect	half4	1	float2,half4,float
posterizeAnimated	colorEffect	half4	4	float2,half4,float,float,float,float
posterizeChannels	colorEffect	half4	3	float2,half4,float,float,float
posterizeDuotone	colorEffect	half4	3	float2,half4,float3,float3,float
posterizeLightness	colorEffect	half4	2	float2,half4,float,float
posterizePalette	colorEffect	half4	5	float2,half4,float3,float3,float3,float3,float
posterizePopArt	colorEffect	half4	4	float2,half4,float2,float,float,float
posterizeSmooth	colorEffect	half4	3	float2,half4,float2,float,float
posterizeTritone	colorEffect	half4	4	float2,half4,float3,float3,float3,float
projectionHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
pulsingChromatic	colorEffect	half4	5	float2,half4,float4,float,float,float,float
radialBlur	colorEffect	half4	4	float2,half4,float4,float,float,float
radialDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
radialDissolve	colorEffect	half4	5	float2,half4,float4,float,float,float,float
radialWave	distortionEffect	float2	6	float2,float4,float,float,float,float,float
rainDrops	colorEffect	half4	5	float2,half4,float4,float,float,float,float
raymarching	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
retroHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
rgbSplit	colorEffect	half4	3	float2,half4,float4,float,float
ripple	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
scanlineGlitch	distortionEffect	float2	4	float2,float4,float,float,float
scanlineJitter	distortionEffect	float2	5	float2,float4,float,float,float,float
scanlines	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesDiagonal	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesDouble	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesGradient	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesInterlaced	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesLCD	colorEffect	half4	4	float2,half4,float2,float,float,float
scanlinesRolling	colorEffect	half4	5	float2,half4,float2,float,float,float,float
scanlinesVHS	colorEffect	half4	4	float2,half4,float2,float,float,float
scatterDissolve	colorEffect	half4	4	float2,half4,float4,float,float,float
sdfShapes	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
sepia	colorEffect	half4	1	float2,half4,float
shakeWave	distortionEffect	float2	4	float2,float4,float,float,float
sharpen	layerEffect	half4	2	float2,layer,float2,float
sharpenClarity	layerEffect	half4	3	float2,layer,float2,float,float
sharpenEdges	layerEffect	half4	2	float2,layer,float2,float
sharpenHighPass	layerEffect	half4	3	float2,layer,float2,float,float
sharpenSimple	colorEffect	half4	1	float2,half4,float
shockwaveDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
signalInterference	colorEffect	half4	4	float2,half4,float4,float,float,float
simplexColor	colorEffect	half4	4	float2,half4,float4,float,float,float
sineDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
sketchCharcoal	layerEffect	half4	4	float2,layer,float2,float,float3,float3
sketchCrossHatch	layerEffect	half4	5	float2,layer,float2,float,float,float3,float3
sketchInk	layerEffect	half4	5	float2,layer,float2,float,float,float3,float3
sketchOutline	colorEffect	half4	2	float2,half4,float2,float
sketchPencil	layerEffect	half4	4	float2,layer,float2,float,float3,float3
sketchWatercolor	layerEffect	half4	3	float2,layer,float2,float,float
softGlow	colorEffect	half4	3	float2,half4,float4,float,float
solarize	colorEffect	half4	1	float2,half4,float
spectralDispersion	colorEffect	half4	3	float2,half4,float4,float,float
sphereBulge	distortionEffect	float2	5	float2,float4,float,float,float,float
spherize	distortionEffect	float2	6	float2,float4,float,float,float,float,float
spiralDisplacement	distortionEffect	float2	6	float2,float4,float,float,float,float,float
spiralWave	distortionEffect	float2	5	float2,float4,float,float,float,float
spiralZoom	layerEffect	half4	5	float2,layer,float2,float2,float,float,float
splitToning	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float
staticElectricity	colorEffect	half4	4	float2,half4,float4,float,float,float
swirl	layerEffect	half4	4	float2,layer,float2,float2,float,float
swirlAnimated	layerEffect	half4	5	float2,layer,float2,float2,float,float,float
swirlDistortion	distortionEffect	float2	5	float2,float4,float,float,float,float
swirlMulti	layerEffect	half4	6	float2,layer,float2,float2,float2,float,float,float
swirlPinch	layerEffect	half4	4	float2,layer,float2,float2,float,float
swirlTwirl	layerEffect	half4	4	float2,layer,float2,float2,float,float
tensionDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
threshold	colorEffect	half4	3	float2,half4,float,float3,float3
thresholdAdaptive	colorEffect	half4	3	float2,half4,float2,float,float
thresholdAnimated	colorEffect	half4	5	float2,half4,float,float,float,float3,float3
thresholdColor	colorEffect	half4	3	float2,half4,float,float,float
thresholdDithered	colorEffect	half4	3	float2,half4,float,float3,float3
thresholdEdge	colorEffect	half4	3	float2,half4,float,float3,float3
thresholdHalftone	colorEffect	half4	3	float2,half4,float2,float,float
thresholdMultiLevel	colorEffect	half4	2	float2,half4,float,float3
thresholdNoise	colorEffect	half4	5	float2,half4,float2,float,float,float3,float3
thresholdSmooth	colorEffect	half4	4	float2,half4,float,float,float3,float3
thresholdTriple	colorEffect	half4	5	float2,half4,float,float,float3,float3,float3
tiltShiftBlur	colorEffect	half4	4	float2,half4,float4,float,float,float
torchFlame	colorEffect	half4	5	float2,half4,float4,float,float,float,float
